"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"そんなことない！　こういう絵が好き/「雪」が溶けちゃいそう/その絵も、その自信も才能だね","Not at all! I like this art/ 'Snow' might melt/ Both art and confidence are talent","Portrait: !pffff!e00","","74","74","0"
"そんなことない！　こういう絵が好きよ/「雪」が溶けちゃいそうね/その絵も、その自信も才能ね","Not at all! I like this art/ 'Snow' might melt/ Both art and confidence are talent","Portrait: !pffff!e00","","80","74","0"
"そんなのありですか！？/でも、確かにそうですね……","Is that allowed!? /But, that's true...","Portrait: !p0000!e00","","45","37","0"
"そんなことない！/好きだから作るんでしょ？/プロ、アマ関係なく、/それは純粋だと思うよ。","Not at all! /You make it because you love it, right? /Pro or not, that's pure.","Portrait: !p0200!e00","","82","78","0"
"そんなにあからさまに/見つめないでくださいよ……。/照れるじゃないですか。","Please don't stare /so openly... /It's embarrassing.","Portrait: !p1503!e00","","66","52","0"
"そんなにあからさまに/見つめないでください……。/照れますから。","Please don't stare /so openly... /It's embarrassing.","Portrait: !p1503!e00","","58","52","0"
"そんなの言われなくても/わかってるよ！/だから苦労してるんじゃないか……","I know that /without being told! /That's why I'm struggling...","Portrait: !p0000!e00","","62","58","0"
"そんなに心配してくれる人がいるのは、/幸せな事なのよ。/……ふふっ。","Having someone worry about you /is a happy thing. /...Hehe.","Portrait: !p1401!e00","","68","58","0"
"そんなコトを言うのなら、/本当に!c01CP!c07を没収しちゃうわよ！","If you say that, /I'll really take your !c01CP!c07!","Portrait: !p1803!e00","","58","44","0"
"そんなコトを言うのなら、/本当に!c01CP!c07を没収するぞ！","If you say that, /I'll really take your !c01CP!c07!","Portrait: !p1803!e00","","52","44","0"
"そんなことはないわ。/やらなければ、わからないわ。","That's not true. /You won't know unless you try.","Portrait: !p0000!e00","","43","43","0"
"そんなことはないぞ。/やらなければ、わからないからな。","That's not true. /You won't know unless you try.","Portrait: !p0000!e00","","47","43","0"
"そんな昔の事を/いちいち覚えてないっス！","I don't remember /old stuff like that!","Portrait: !p1100!e00","","39","37","0"
"そんなことないわ。/ヒナタにとっての宝物は、/心の中に大切にしまっておけばいいのよ。","That's not true. /Keep Hinata's treasure /safe in your heart.","Portrait: !p0000!e00","","80","62","0"
"そんな事よりも、/僕に勝った事を自慢したらどうデスか？/堂々と胸を張ってくだサイ。","More than that, /brag about beating me. /Be proud.","Portrait: !p0801!e00","","78","53","0"
"そんなことないぞ。/ヒナタにとっての宝物は、/心の中に大切にしまっておけばいいんだよ。","That's not true. /Keep Hinata's treasure /safe in your heart.","Portrait: !p0000!e00","","84","62","0"
"そんな訳ないって！　お前はいつも/家のことを一生懸命やってるじゃないか。/その頑張りを、親だって見てるって！","No way! You always /work hard at home. /Your parents see that effort!","Portrait: !p0000!e00","","100","70","0"
"そんな訳ないわ！　貴方はいつも/家のことを一生懸命やってるじゃない。/その頑張りを、親だって見てるわよ！","No way! You always /work hard at home. /Your parents see that effort!","Portrait: !p0000!e00","","100","70","0"
"そんな目で見ないで！/それより……/今日はずっと一緒にいてくれますか？","Don't look at me like that! /More importantly... /Will you stay with me today?","Portrait: !p1502!e00","","70","70","0"
"そんな事よりも、/僕に勝った事を自慢したらどうですか？/堂々と胸を張ってくだサイ。","More than that, /brag about beating me. /Be proud.","Portrait: !p0801!e00","","82","53","0"
"そんなワケがあるかーッ！！","No way that's true!!","Portrait: !p0000!e00","","24","19","0"
"そんな……。/今日は心に決めてきたのに。","No way... /I came here resolved today.","Portrait: !p0000!e00","","37","37","0"
"そんな学園長らしからぬお姿で/生徒の前に出てきたら、困りますからね。","If you appear like that /before students, it'll be trouble.","Portrait: !p1800!e00","","62","56","0"
"そんな風に思ってもらえたら、/嬉しいな。","I'd be happy if you /thought of me that way.","Portrait: !p0000!e00","","41","41","0"
"そんな暗い感じじゃ/ダメだよ、!0。/さあ、気を取り直してね。","Don't be so gloomy, /!0. /Now, cheer up.","Portrait: !p0200!e00","","54","40","0"
"そんな暗い感じじゃダメだぞ、!0。/さぁ、気を取り直してくれ。","Don't be so gloomy, !0. /Now, cheer up.","Portrait: !p0200!e00","","56","40","0"
