"japanese","english","context","notes"
"!0さん、/お化け屋敷がありますよ。/入ってみましょうか？","","Portrait: !p2500!e00",""
"!0さん。/お待ちしていましたよ。","","Portrait: !p2500!e00",""
"!0さん。/お暇でしたら、学園祭を一緒に/見て回っていただけませんか？","","Portrait: !p2500!e00",""
"!0さん。/頑張るのもいいけど、/はりきりすぎてケガとかしないようにね。","","Portrait: !p1400!e00",""
"!0さんが/私にご好意をよせてくださっているのは、/痛いほどよくわかります。","","Portrait: !p2503!e00",""
"!0さんがいれば、/ワシは、何だってできる男に/なってみせるぞい！！","","Portrait: !p1201!e00",""
"!0さんは、/アキラに会うたかのう？","","Portrait: !p1200!e00",""
"!0さんは、/最近身体の調子はどう？/どこか具合の悪い所はないかしら？","","Portrait: !p1400!e00",""
"!0さん！/いいところに来たのう！","","Portrait: !p1200!e00",""
"!0さん！/これを美術部に/持っていってくれんかのう？","","Portrait: !p1200!e00",""
"!0さん！/これ以上、私を困らせないでください。","","Portrait: !p2503!e00",""
"!0さん！/待っとったぞい。","","Portrait: !p1200!e00",""
"!0さん！！","","Portrait: !p1202!e00",""
"!0せんぱぁい、/あそこの部屋って、/何に使ってるんですかぁ？","","Portrait: !p2402!e00",""
"!0せんぱぁい！/もぉっ！　流せんぱいったら/失礼なんですよぉ！","","Portrait: !p2403!e00",""
"!0せんぱぁい！/学園祭を案内してくださいよぉ！","","Portrait: !p2400!e00",""
"!0せんぱぁい！/将馬せんぱい、見ませんでした？","","Portrait: !p2400!e00",""
"!0せんぱぁい！/見てくださいよぉ！/掘り出し物ですよぉ！","","Portrait: !p2401!e00",""
"!0せんぱいは、/エッチですぅ！　エッチですぅ！/もうお嫁にいけませんですぅ！！","","Portrait: !p2401!e00",""
"!0せんぱい！/「サーブが決まるおまじない」って/知ってますぅ？","","Portrait: !p2400!e00",""
"!0せんぱい！/もぉ〜、待ちくたびれましたぁ〜！","","Portrait: !p2400!e00",""
"!0ちゃん、違うの！/ロベルト君は、お化け屋敷に行こうって/私を誘ってただけなの！","","Portrait: !p2903!e00",""
"!0って、/キャンプファイアーに一緒にいく人……、/決まってるの……？","","Portrait: !p2102!e00",""
"!0ですか。/これらは全て、図書室から持ち出されたまま/放置されていた本なのです。","","Portrait: !p0900!e00",""
"!0と一緒に/キャンプファイアーに来れてよかった！","","Portrait: !p0501!e00",""
"!0と話します","","Portrait: !pffff!e00",""
"!0の!c03パラメータ!c07が/すべて２上がった！","","Portrait: !pffff!e00",""
"!0の!c03パラメータ!c07が/すべて２下がった！","","Portrait: !pffff!e00",""
"!0の!c03体力!c07が１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03体力!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c03攻撃力!c07が１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03攻撃力!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c03根性!c07が１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03根性!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c03潜在能力!c07が/１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03潜在能力!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c03知力!c07が１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03知力!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c03防御力!c07が１０上がった！","","Portrait: !pffff!e00",""
"!0の!c03防御力!c07が８下がった！","","Portrait: !pffff!e00",""
"!0の!c04機嫌!c07が直った！","","Portrait: !pffff!e00",""
"!0の!c04ＨＰ!c07が!1増えた！","","Portrait: !pffff!e00",""
"!0の!c04ＨＰ!c07が!1減った！","","Portrait: !pffff!e00",""
"!0の!c04ＨＰ!c07が４増えた！","","Portrait: !pffff!e00",""
"!0の!c04ＨＰ!c07が８減った！","","Portrait: !pffff!e00",""
"!0の!c05友好度!c07が上がった！","","Portrait: !pffff!e00",""
"!0の!c05友好度!c07が下がった！","","Portrait: !pffff!e00",""
"!0の!c05友好度!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01体育!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01体育!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01体育!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01体育!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01国語!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01国語!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01国語!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01国語!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01数学!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01数学!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01数学!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01数学!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01理科!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01理科!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01理科!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01理科!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01社会!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01社会!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01社会!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01社会!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01美術!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01美術!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01美術!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01英語!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01英語!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01英語!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01英語!c07の!c02４!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01音楽!c07の!c02１!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01音楽!c07の!c02２!c07を強奪した！","","Portrait: !pffff!e00",""
"!0の/!c01音楽!c07の!c02３!c07を強奪した！","","Portrait: !pffff!e00",""
"!0のターンです","","Portrait: !pffff!e00",""
"!0のルーレットを/!c04『のろのろ』!c07に変更します","","Portrait: !pffff!e00",""
"!0のルーレットを/!c04『イチバチ』!c07に変更します","","Portrait: !pffff!e00",""
"!0のルーレットを/!c04『全開ダッシュ』!c07に変更します","","Portrait: !pffff!e00",""
"!0の勝ちね！/!0は決勝戦に進めるわよ！","","Portrait: !p1801!e00",""
"!0の勝ちね！/!0は３位になるわ！","","Portrait: !p1800!e00",""
"!0の勝利！","","Portrait: !pffff!e00",""
"!0の答えは/もう聞かせてもらったつもり。","","Portrait: !p0502!e00",""
"!0のＥＤＩＴキャラから順に、/持っている技やパラメータが表示されるわ。","","Portrait: !p1800!e00",""
"!0のＨＰを/!1ポイント奪った！","","Portrait: !pffff!e00",""
"!0は!c01不機嫌!c07になった！","","Portrait: !pffff!e00",""
"!0は!c04ＨＰ!c07が０になった！/次の!c05１ターン!c07休み！","","Portrait: !pffff!e00",""
"!0は!c04ＨＰ!c07０のため、/!c05１ターン!c07休み！","","Portrait: !pffff!e00",""
"!0は、!1と/会話した。","","Portrait: !pffff!e00",""
"!0は、!1の/届け物に成功した。","","Portrait: !pffff!e00",""
"!0は、/……自分の思うままの道を歩いて下さい。/それが……一番です。","","Portrait: !p0900!e00",""
"!0は、/アキラに会うたかのう？","","Portrait: !p1200!e00",""
"!0は、その事を/理解してくれていると思っていましたが……/残念です。","","Portrait: !p0900!e00",""
"!0は、私の制服姿を/見たことないんじゃないかと思って、/着替えてきたの。","","Portrait: !p1102!e00",""
"!0は立ち去った","","Portrait: !pffff!e00",""
"!0も/欲しいものがあれば、取ってやるぞ。","","Portrait: !p0600!e00",""
"!0も、/そんなこと考えたりするのが/わかったから。","","Portrait: !p1100!e00",""
"!0よ……/済まぬが、この密書を/生徒会室に届けてくれ。","","Portrait: !p1600!e00",""
"!0よ……/私が聞きたいのは、/そんな画一的な意見ではないのだがな。","","Portrait: !p1603!e00",""
"!0よ。/お前に聞きたい事がある。","","Portrait: !p1600!e00",""
"!0を/!1から奪った！","","Portrait: !pffff!e00",""
"!0を/!c01グラウンド北エリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01グラウンド南エリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01プールエリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01体育館エリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01屋上エリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01部室棟エリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01１Ｆエリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01２Ｆエリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0を/!c01３Ｆエリア!c07へ移動させます","","Portrait: !pffff!e00",""
"!0をパートナーから外した","","Portrait: !pffff!e00",""
"!0クン……/「真剣な」恋愛を何度もしなさい。/何度も恋して、何度も別れて……","","Portrait: !p1400!e00",""
"!0クン……/そこまでにしておきましょう。/それ以上、口にしないで。","","Portrait: !p1403!e00",""
"!0クン……/どうしたの、急に。","","Portrait: !p1402!e00",""
"!0クン……ええ、ちょっとね。","","Portrait: !p1403!e00",""
"!0クン……お疲れ様。","","Portrait: !p1400!e00",""
"!0クン……そうね。/一人で愚痴ってるだけじゃ、/上達するはずがないものね。","","Portrait: !p1400!e00",""
"!0クン。/誉めてくれるのは嬉しいけど、/相手によってはセクハラ発言になるわよ。","","Portrait: !p1400!e00",""
"!0クン。/頑張るのもいいけど、/はりきりすぎてケガとかしないようにね。","","Portrait: !p1400!e00",""
"!0クンは、/最近身体の調子はどう？/どこか具合の悪い所はないかしら？","","Portrait: !p1400!e00",""
"!0先輩、/お待ちしていましたよ。","","Portrait: !p1500!e00",""
"!0先輩、/どうです？/僕と一緒に見て回りませんか？","","Portrait: !p1500!e00",""
"!0先輩。/ごきげんですね。","","Portrait: !p1500!e00",""
"!0先輩。/ちょっとお願いがあるんです。","","Portrait: !p1500!e00",""
"!0君……/これはまだ誰にもいってないのだが……、/私はもうすぐ結婚する。","","Portrait: !p1300!e00",""
"!0君……/私、あなたと知り合えて/本当に良かった……。","","Portrait: !p1802!e00",""
"!0君……。","","Portrait: !p1300!e00",""
"!0君……。/ひなたさんって、器用よねぇ……。","","Portrait: !p1800!e00",""
"!0君……。/君はいい生徒です。/きっといい人がみつかりますよ……。","","Portrait: !p1301!e00",""
"!0君……ありがとう。/そうよね……私らしくやれば、/それでいいのよね。","","Portrait: !p1802!e00",""
"!0君……お疲れ様。","","Portrait: !p1801!e00",""
"!0君、/『ＣＡＰＣＯＭ　ＶＳ．ＳＮＫ』っていう/格闘大会があったの知ってる？","","Portrait: !p1800!e00",""
"!0君、/お疲れさまでした。/よく頑張りましたね。","","Portrait: !p1300!e00",""
"!0君、違うの！/ロベルト君は、お化け屋敷に行こうって/私を誘ってただけなの！","","Portrait: !p2903!e00",""
"!0君ですか。/いやちょっと、今急いでいるので、/すみませんが、またあとで。","","Portrait: !p1303!e00",""
"!0君！","","Portrait: !p1300!e00",""
"!0番にセーブします。/　　　　　　　　よろしいですか？/　　　　　　はい：Ａ　　いいえ：Ｂ","","Portrait: !pffff!e00",""
"!0番に上書きしてもよろしいですか？/　　　　　　はい：Ａ　　いいえ：Ｂ","","Portrait: !pffff!e00",""
"!0番のＥＤＩＴキャラを消します。/　　　　　　　　よろしいですか？/　　　　　　はい：Ａ　　いいえ：Ｂ","","Portrait: !pffff!e00",""
"!0！/いいところに来たのう！","","Portrait: !p1200!e00",""
"!0！/おせェぞ！","","Portrait: !p1000!e00",""
"!0！/おつかれさま！","","Portrait: !p0500!e00",""
"!0！/こっちの方に/誰か走ってこなかったか？","","Portrait: !p0303!e00",""
"!0！/これを美術部に/持っていってくれんかのう？","","Portrait: !p1200!e00",""
"!0！/もしよければ、これから私と/同行してもらえませんか？","","Portrait: !p0900!e00",""
"!0！/やっとおでましかい？/待ちくたびれたよ。","","Portrait: !p2300!e00",""
"!0！/チャンと届けてくれたネ！/サンキュー！！","","Portrait: !p0801!e00",""
"!0！/テメェは、くだらねぇ悪さなんざ/しちゃいねぇだろうな！？","","Portrait: !p2000!e00",""
"!0！/助かりました。/協力を感謝します。","","Portrait: !p0902!e00",""
"!0！/君の悩みを/聞いてさしあげましょう！！","","Portrait: !p0901!e00",""
"!0！/大活躍だったみたいね。","","Portrait: !p0500!e00",""
"!0！/待っとったぞい。","","Portrait: !p1200!e00",""
"!0！/成績トップ、おめでとっ！/意外とやるじゃない？","","Portrait: !p2101!e00",""
"!0！/私、変わるの。","","Portrait: !p1101!e00",""
"!0！！/今のアナウンス聞きまシタか？/ミーは今から参加しマス！！","","Portrait: !p0801!e00",""
"!0！！/君はどう思います！？/こんな不条理が許されていいはずがない！！","","Portrait: !p0903!e00",""
"!0？/……今、ホッとしなかった？","","Portrait: !p0203!e00",""
"!c00友好度!c07が上がると、歩いてる時にぶつかって/イベントが発生することもあるわよ。/!c00友好度!c07はステータス画面で確認してね。","","Portrait: !p1800!e00",""
"!c00友好度!c07が上がるわ。","","Color-coded menu/UI text",""
"!c00友好度!c07が高い状態で、一位になれば、/ちょっといいエンディングが見れるかも……/ここから先は内緒ね。","","Portrait: !p1800!e00",""
"!c01グラウンド北エリア!c07へ移動させます","","Color-coded menu/UI text",""
"!c01グラウンド南エリア!c07へ移動させます","","Color-coded menu/UI text",""
"!c01ネコ!c07/「ニャ〜〜〜ン♪」","","Portrait: !pffff!e00",""
"!c01ビンゴ表!c07に載っていない!c01単位!c07も/あるけど、上手く揃えれば、/いろいろな、ボーナスも手に入るわよ。","","Color-coded menu/UI text",""
"!c01ビンゴ表!c07を/表示している時に、ＬＲトリガーを引くと、/!c01ビンゴ表!c07の方のカーソルを操作できるわ。","","Color-coded menu/UI text",""
"!c01ビンゴ表!c07を呼び出すことができるわよ。","","Color-coded menu/UI text",""
"!c01ビンゴ表!c07を揃えたり、効率よく!c00友好度!c07を/上げるには、戦闘に勝つことが重要よ。","","Color-coded menu/UI text",""
"!c01プールエリア!c07へ移動させます","","Color-coded menu/UI text",""
"!c01不機嫌!c07なジャスキャラがいません","","Portrait: !pffff!e00",""
"!c01不機嫌!c07になった！","","Color-coded menu/UI text",""
"!c01不機嫌状態!c07の/!c03ジャスキャラ!c07は戦闘中に助けてくれないの。","","Color-coded menu/UI text",""
"!c01不良!c07/「ほざけッ！」","","Portrait: !pffff!e00",""
"!c01不良!c07/「ク、クソォッ！/　覚えてやがれッッ！」","","Portrait: !pffff!e00",""
"!c01不良!c07/「ヒィ〜ッ！　誰だァ！/　風間醍醐が弱ってるなんていったのは！」","","Portrait: !pffff!e00",""
"!c01不良!c07/「ヒィ〜ッ！　誰だ！/　風間醍醐が弱ってるなんていったのは！」","","Portrait: !pffff!e00",""
"!c01不良!c07/「見つけたぞ、風間醍醐！/　総番長の名にかけて勝負してもらうぜ！」","","Portrait: !pffff!e00",""
"!c01不良女Ａ!c07/「どうだか！　油断させといて、/　寝首をかこうって魂胆じゃないのかい？」","","Portrait: !pffff!e00",""
"!c01不良女Ａ!c07/「ギャアッ！」","","Portrait: !pffff!e00",""
"!c01不良女Ａ!c07/「ザキがお友達と仲良く学園祭とは、/　お笑いだよ！」","","Portrait: !pffff!e00",""
"!c01不良女Ａ!c07/「チッ！　何でこんなとこに/　マッポがいるんだい！？」","","Portrait: !pffff!e00",""
"!c01不良女Ｂ!c07/「な、仲間が隠れてやがった！/　ズラかるよ！」","","Portrait: !pffff!e00",""
"!c01不良女Ｂ!c07/「やっちまいな！」","","Portrait: !pffff!e00",""
"!c01不良女Ｂ!c07/「ズラかるよ！」","","Portrait: !pffff!e00",""
"!c01不良女Ｂ!c07/「急に、イイ子ちゃんになろうってのかぁ？/　情けないねぇ！　ヒャハハッ！」","","Portrait: !pffff!e00",""
"!c01人間３人!c07　＋　!c04ＣＰＵ１体!c07の対戦よ！","!c013 Humans!c07　＋　!c041 CPU !c07 battle!","3P + 1CPU",""
"!c01人間３人!c07の対戦よ！","!c013 Humans!c07 battle!","3P only","!c01=pink"
"!c01体育!c07の!c02１!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01体育!c07の!c02１!c07を強奪した！","","Color-coded menu/UI text",""
"!c01体育!c07の!c02２!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01体育!c07の!c02２!c07を強奪した！","","Color-coded menu/UI text",""
"!c01体育!c07の!c02３!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01体育!c07の!c02３!c07を強奪した！","","Color-coded menu/UI text",""
"!c01体育!c07の!c02４!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01体育!c07の!c02４!c07を強奪した！","","Color-coded menu/UI text",""
"!c01体育館エリア!c07へ移動させます","","Color-coded menu/UI text",""
"!c01単位!c07がもらえるチェックポイントマス。/!c04カード!c07がもらえるマス。/必殺技がもらえるマスなどがあるわ。","","Portrait: !p1800!e00",""
"!c01単位!c07が手に入ると、/それだけでポイントゲット。/その!c01単位!c07が!c01ビンゴ表!c07にあれば、","","Portrait: !p1801!e00",""
"!c01単位!c07が手に入るの。","","Color-coded menu/UI text",""
"!c01単位!c07が集まって、!c01ビンゴ表!c07で/ビンゴがそろうとさらにボーナスよ。","","Color-coded menu/UI text",""
"!c01単位!c07のマスの上に表示されるから、/それを確認してね。","","Color-coded menu/UI text",""
"!c01単位!c07は、同じモノは一つしかないから、/他の人に先に取られたら、/戦闘などで奪うしかないわ。","","Portrait: !p1800!e00",""
"!c01単位!c07や!c00友好度!c07、!c04カード!c07、!c05パートナー!c07を……、","","Color-coded menu/UI text",""
"!c01単位!c07を/強奪することができます","","Color-coded menu/UI text",""
"!c01単位!c07を奪われないように、/パラメータを上げるコトも/わすれずに、ね。","","Portrait: !p1801!e00",""
"!c01単位!c07を強奪しますか？","","Color-coded menu/UI text",""
"!c01単位ビンゴ表!c07で/ビンゴを揃えるともらえるわ。","","Color-coded menu/UI text",""
"!c01単位ポイント!c07がもっとも高い人が、/このボードゲームの勝利者となるわ。","","Color-coded menu/UI text",""
"!c01単位ポイント!c07に!c05ボーナス!c07が加算されるの。","","Color-coded menu/UI text",""
"!c01単位ポイント!c07を!0ポイントもらった！","","Portrait: !pffff!e00",""
"!c01単位ポイント＋!0！!c07","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『全キャラ友好度　＋５』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『全パラメータ　Lv＋１』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『完全燃焼技　１』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『完全燃焼技　２』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『完全燃焼技　３』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位ポイント＋!0！!c07/ビンゴボーナス/!c05『完全燃焼技　４』!c07をゲット！！","","Color-coded menu/UI text",""
"!c01単位マス!c07、できれば!c02ボーナスマス!c07を/目指して進むことね。","","Color-coded menu/UI text",""
"!c01単位マス!c07にカーソルがあっている時に、/その!c01単位!c07が!c01ビンゴ表!c07にあれば、/カーソルが表示されるから、参考にしてね。","","Portrait: !p1800!e00",""
"!c01国語!c07の!c02１!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01国語!c07の!c02１!c07を強奪した！","","Color-coded menu/UI text",""
"!c01国語!c07の!c02２!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01国語!c07の!c02２!c07を強奪した！","","Color-coded menu/UI text",""
"!c01国語!c07の!c02３!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01国語!c07の!c02３!c07を強奪した！","","Color-coded menu/UI text",""
"!c01国語!c07の!c02４!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01国語!c07の!c02４!c07を強奪した！","","Color-coded menu/UI text",""
"!c01女子高生!c07/「きゃーきゃー!h/　修一センパ〜イ!h」","","Portrait: !pffff!e00",""
"!c01屋上エリア!c07へ移動させます","","Color-coded menu/UI text",""
"!c01数学!c07の!c02１!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01数学!c07の!c02１!c07を強奪した！","","Color-coded menu/UI text",""
"!c01数学!c07の!c02２!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01数学!c07の!c02２!c07を強奪した！","","Color-coded menu/UI text",""
"!c01数学!c07の!c02３!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01数学!c07の!c02３!c07を強奪した！","","Color-coded menu/UI text",""
"!c01数学!c07の!c02４!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01数学!c07の!c02４!c07を強奪した！","","Color-coded menu/UI text",""
"!c01理科!c07の!c02１!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01理科!c07の!c02１!c07を強奪した！","","Color-coded menu/UI text",""
"!c01理科!c07の!c02２!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01理科!c07の!c02２!c07を強奪した！","","Color-coded menu/UI text",""
"!c01理科!c07の!c02３!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
"!c01理科!c07の!c02３!c07を強奪した！","","Color-coded menu/UI text",""
"!c01理科!c07の!c02４!c07の単位を手に入れた！","","Portrait: !pffff!e00",""
