"Japanese","English","offset"
"!p0100!e00なら、オレに呼吸を合わせろ！/相棒の鼓動を感じ取れば、/後は気合をぶつけるだけだ！！","","0x6F2C"
"!p0000!e00あら、バツ……どうしたの？/そんな仏頂面で。","","0x6F8A"
"!p0103!e00ったくひでぇぜ、英雄先生！！/学園祭の日に宿題の話なんかしてよ！/せっかくの祭り気分がぶち壊しだぜ！！","","0x6FC0"
"!p0103!e00あームシャクシャするぜ！/どっかで思いっきり暴れたい気分だ！！","","0x702F"
"!p0000!e00（……荒れてたわね……こういう時は、/　むやみに話しかけない方がいいわ……）","","0x7077"
"!p0100!e00よぉ、!0。/遅かったじゃねぇか。","","0x70CF"
"!p0000!e00バツ？/あなた、そんな所で何やってるのよ。","","0x70F9"
"!p0102!e00何って……/オマエを待ってたに決まってんじゃねぇか。","","0x712D"
"!p0000!e00私を……？","","0x716B"
"!p0102!e00ああ……/と、とりあえず、/キャンプファイアーに行くぞ！","","0x7180"
"!p0000!e00はぁ……/今日も一日、大変だったわね。/楽しかったけど。","","0x71C2"
"!p0101!e00なんたって学園祭だからな。/これぐらいバカ騒ぎしなきゃ、/楽しんだ事にならねぇよ。","","0x7203"
"!p0000!e00ふふっ、バツらしいわね。","","0x725E"
"!p0100!e00でもよ、/もう高校生活のうち、/半分が終わっちまったんだよなぁ……","","0x7281"
"!p0100!e00なんだか早いよな。/ついこないだ、太陽学園に/転校してきたと思ってたのによ。","","0x72CC"
"!p0000!e00ホント、/楽しい時間は過ぎるのも/アッという間よね。","","0x7321"
"!p0000!e00でも、そうすると/気がついたら、/もう卒業ってことになっちゃうのかな。","","0x735E"
"!p0103!e00!0……オマエは、/卒業したら何になるつもりなんだ？","","0x73AD"
"!p0000!e00何って……イキナリな質問ね。/まだちゃんと考えた事もなかったわ。/そういうバツは？","","0x73E9"
"!p0100!e00オレは、親父に/「日本を変えてやる！！」って/大見得きっちまったからな。","","0x7444"
"!p0101!e00でも、/具体的に何になりゃいいのかは/まだ見当もつかねぇけどよ。","","0x7495"
"!p0000!e00大丈夫。/バツならできるわよ。","","0x74DE"
"!p0103!e00オマエ、/簡単に言うけどな……","","0x7506"
"!p0000!e00難しく考える必要なんてないわよ。/バツはいつだって、/即断即決が持ち味なんだから。","","0x752E"
"!p0000!e00思いついた事を/片っ端からやっていけば、/結果は後からついてくるんじゃない？","","0x7589"
"!p0101!e00そう上手くいくかよ。/……でも、オマエがそう言うのなら、/やってみるのも面白いな。","","0x75DE"
"!p0100!e00よぉし、決めた！！/もうゴチャゴチャ悩んだりしねぇ！/なるようにしかならねぇんだからな！！","","0x7639"
"!p0000!e00その意気よ、バツ！/これからは私も、/側から一生懸命応援するから！！","","0x769C"
"!p0102!e00……アリガトよ、!0。","","0x76E9"
"!p0100!e00オマエがついてきてくれるなら、/もうオレは怖いものなしだぜ！！","","0x7708"
"!p0100!e00よぉ、!0。/ずいぶん疲れたみたいだな。","","0x7751"
"!p0000!e00ええ、チョットね。/なんか一日頑張ったのに、/成績がイマイチだったから……","","0x7781"
"!p0100!e00なんだオマエ、/そんなコト気にしてたのかよ。","","0x77D4"
"!p0101!e00クヨクヨすんなって！/このオレみたいに、/軽く受け流していけばいいじゃねぇか！","","0x780A"
"!p0100!e00とりあえず、/キャンプファイアーを見に行って、/そんな気分を吹き飛ばしちまえ！！","","0x7861"
"!p0201!e00ヤッホー、!0！/学園祭の雰囲気、/ちゃーんと楽しんでる？","","0x78BB"
"!p0000!e00ええ、もちろん！/そういうひなたこそ、/ウキウキしまくってるじゃない。","","0x78FC"
"!p0201!e00だって、ずっと楽しみにしてたんだもん。/昨日なんて、なかなか寝つけなくって！","","0x794B"
"!p0000!e00（遠足前の小学生ね……）","","0x79A1"
"!p0200!e00えへへっ、今日はいい天気でしょ。/私に感謝してよね。","","0x79C5"
"!p0000!e00？/どうして晴れだと/ひなたに感謝しなきゃならないのよ？","","0x7A03"
"!p0201!e00だって私、「晴れ女」だもん！/昔っから大きなイベントがあるときに/雨が降った事は一度もないんだから。","","0x7A44"
"!p0000!e00（珍しいのか……な？/　まぁとりあえず、便利だって事は/　まちがいないわね……）","","0x7AB1"
"!p0000!e00そういえば、/どうしてひなたは靴を飛ばすの？/もって歩くのも大変そうなのに。","","0x7B0B"
"!p0203!e00だって、通信教育のテキスト特別号に/「漢は黙って飛び道具！」とか載ってて、/どうしてもやってみたかったんだもん。","","0x7B60"
"!p0201!e00それに、イキナリ靴とか飛んできたら/相手も驚くじゃない。/それが狙いなんだから！","","0x7BD9"
"!p0000!e00（……工夫は認めるけど、/　やっぱり変でしょ……。/　その特別号とかも怪しすぎるし……）","","0x7C32"
"!p0200!e00こんなにいろんなお店が出てると、/何買おうかスッゴク迷っちゃうなぁ。","","0x7C94"
"!p0000!e00でもそれって、いつものひなたと/そんなに変わらないような気もするけど。","","0x7CE2"
"!p0203!e00あー、それってヒドい言い方。","","0x7D32"
"!p0200!e00……でもさぁ、こんなイベントで/自分を飾ったり偽ったりするなんて、/なーんか損した気にならない？","","0x7D59"
"!p0000!e00それは言えてるわね。/じゃ、パァーッと派手に楽しもっか！","","0x7DC2"
"!p0000!e00ひなたって、/いつもヘアバンドしてるけど、/髪をおろす時ってどんな時なの？","","0x7E05"
"!p0200!e00あれ、見た事ない？/初詣とかクリスマスパーティーとか、/結構おろしてるつもりなんだけどな。","","0x7E58"
"!p0000!e00あれ、そうだっけ？/去年の話だし、あんまり憶えてないわ。","","0x7EBB"
"!p0201!e00ふぅん。/なんなら、またいつか見せてあげるよ。/いつもと違う私を、ね！","","0x7EFD"
"!p0200!e00ねぇねぇ。/最近委員長って、/随分変わってきたと思わない？","","0x7F4D"
"!p0200!e00私に「格闘技を習いたい！」って/言ってきた時は、/ピリピリ張りつめてたんだけどね。","","0x7F90"
"!p0201!e00最近、少しずつ/ゆとりみたいなものが出てきたみたい。","","0x7FEB"
"!p0000!e00本人には、/まだ余裕なんてないだろうけどね。/格闘技の方だってまだまだだろうし。","","0x8029"
"!p0201!e00ううん、委員長は強いよ。/私たちにない強さを持ってるから、/みんなに信頼されてるんだよ。","","0x8082"
"!p0000!e00その辺は、/私たちも見習わなきゃね！","","0x80E3"
"!p0200!e00さくらちゃん、/最近どうしてるかなぁ……","","0x8112"
"!p0200!e00今年になってから、/女海賊さんと一緒に戦ったり、/大勢でチーム戦してたみたいなんだけど。","","0x8144"
"!p0000!e00ああ、私も見てたわよ。/随分頑張ってるんだなって。/私たちも負けてられないわね！","","0x81A5"
"!p0201!e00うん、そうだね！/私もまだまだ頑張らなくっちゃ！！","","0x81FE"
"!p0000!e00あら、ひなた。/今日もクラブの助っ人なの？","","0x823F"
"!p0200!e00違うよぉ。/ちょーっとだけ、/みんなの様子を覗きに来ただけだよ。","","0x8273"
"!p0000!e00じゃあ、もし見つかったら、今日も派手に/助っ人を依頼されたりするってわけ？/（……ニヤッ）","","0x82BC"
"!p0203!e00ちょ、ちょっと!0！/余計な事しちゃダメだよ！/私、もう行くからね！！","","0x831F"
"!p0000!e00（チェッ……大声で/　名前を呼んでやろうと思ったのに……/　気づかれちゃったか）","","0x836C"
"!p0200!e00確かこの辺で、バレー部が/お店出してるはずなんだけど。","","0x83C8"
"!p0000!e00へぇ……/一体何を売ってるんだろ。","","0x8408"
"!p0203!e00う〜ん、ハッキリと/教えてくれなかったんだよね。/当日のお楽しみだから、って。","","0x8434"
"!p0000!e00ふぅん。/ま、見かけたら/買いに行ってあげよっかな。","","0x848B"
"!p0201!e00そうだね！/私も楽しみにとっとこ。/それじゃあね！","","0x84C8"
"!p0203!e00あっ、!0！/この辺りで中学生ぐらいの男の子を/見かけなかった？","","0x8505"
"!p0000!e00この辺りで？/いや、私は見なかったけど。","","0x854C"
"!p0203!e00あーんもう！/ここで待っとくように言っといたのにーっ！/どこ行っちゃったのよぉ！","","0x857E"
"!p0000!e00（ずいぶん焦ってるみたいね。/　……そもそも、/　「中学生ぐらいの男の子」って誰なの？）","","0x85D7"
"!p0000!e00ひなた……その男の子って、/もしかして……","","0x8638"
"!pffff!e00弟？/子供？/迷子？","","0x866D"
"!p0000!e00それって、ひなたの弟？","","0x868B"
"!p0200!e00あれ？/!0に紹介してたっけ？/そうだよ。夕（ゆう）っていうんだけど。","","0x86AC"
"!p0203!e00うるさく学園祭に来たいっていうから、/せっかく呼んであげたのに、/どこ行っちゃったのよ！","","0x86F9"
"!p0000!e00へぇ……/ひなたも結構しっかり/「お姉ちゃん」してるじゃないの。","","0x875A"
"!p0202!e00な、何よ突然。","","0x87A3"
"!p0000!e00いやいや、/誉めてあげてるのよ。","","0x87BC"
"!p0202!e00も、もう私、/探しにいってくるから！/それじゃあね！","","0x87E6"
"!p0000!e00もしかして……/それって、ひなたの子供？","","0x8824"
"!p0203!e00…………","","0x8856"
"!p0000!e00じょ、冗談だってば……","","0x8869"
"!p0203!e00……ならいいけど。/それじゃ。","","0x888A"
"!p0000!e00（ううう……冗談だったのに、/　理解されなかった……反省……）","","0x88B2"
"!p0000!e00迷子でも助けたの？/で、今度はその子を見失ったとか？","","0x88FB"
"!p0203!e00違うよ、迷子なんて助けてないよ。/あ、でも結局迷子になっちゃったのか。/あーもうドコ行っちゃったのよ！","","0x8939"
"!p0200!e00あ、私、/これから探しに行くから！/じゃね！！","","0x89A8"
"!p0000!e00（あ……結局、/　誰を探してたんだろ……？/　気になるなぁ……）","","0x89DF"
"!p0200!e00あっ、!0！/ちょっと聞いてよ！！/もうヒドいんだから！","","0x8A2E"
"!p0000!e00な、なんなの！？/ちょっと落ちついて話してよ！","","0x8A6D"
"!p0203!e00私、今年の学園祭でもケーキを/作ろうと思って張りきってたのに、/売り子しかさせてもらえなかったの！","","0x8AA5"
"!p0203!e00年に一度の学園祭ぐらい、/好きにさせてくれてもいいと思わない！？","","0x8B10"
"!pffff!e00内心ホッとする/今日は我慢したら/それは残念ね","","0x8B5B"
"!p0000!e00（ひなたには悪いけど、/　みんなが作らせなかった気持ちは判るわ。/　あの出来じゃチョット……ね）","","0x8B93"
"!p0203!e00!0？/……今、ホッとしなかった？","","0x8BFC"
"!p0000!e00え！？/い、いや、まさか！/アハハハ……ハハ。","","0x8C26"
"!p0203!e00ふぅん……/!0もそう思ってるんだ。/よく判った。じゃあね。","","0x8C5D"
"!p0000!e00（しまった……/　今度、ちゃんと謝ろう……）","","0x8CA0"
"!p0000!e00仕方ないでしょ。/今日は我慢しといたら？","","0x8CD7"
"!p0203!e00だぁってぇぇぇぇ〜〜〜！","","0x8D09"
"!p0000!e00ふぅ……/そんなに作りたけりゃ、今度いつか/誰かの為に作ってあげればいいじゃない。","","0x8D2C"
"!p0202!e00……その誰かって……/!0のコト？","","0x8D87"
"!p0000!e00ま、まぁ……そうなれば嬉しいけどね。/ひなたから貰うものなら、/どんなモノでもありがたく受け取るわよ。","","0x8DB1"
"!p0201!e00なんだか引っかかる言い方だけど……。/ま、いいや。/憶えてたらね！！","","0x8E20"
"!p0000!e00（ふぅ、何とか笑顔を取り戻したわ……）","","0x8E6D"
"!p0000!e00それは残念だよね。/でも、クラスで決めた事なんだから、/従わなきゃダメよ。","","0x8E9F"
"!p0203!e00わかってるよぉ。/……でもね。","","0x8EF2"
"!p0000!e00？","","0x8F1A"
"!p0201!e00あんまり悔しかったから、/売り物のケーキを/少しつまみ食いしちゃった!h","","0x8F27"
"!p0000!e00（ちょっとちょっと……/　ほどほどにしときなさいよ）","","0x8F76"
"!p0000!e00ひ〜なた。/……どうしちゃったの？/ボーッとして。","","0x8FBA"
"!p0203!e00!0……私って、/子供っぽいよね？","","0x8FF5"
"!p0000!e00何よ、突然。/そんな事考えてたの？","","0x901F"
"!p0203!e00そんな事って……、/私は真剣に悩んでるんだから。","","0x904B"
"!p0203!e00私と同い年でも、/大人っぽいコが多いじゃない。/アキラちゃんも段々女っぽくなってきたし。","","0x9085"
"!p0200!e00……ねぇ、!0。/私に足りないのって、何だと思う？/思ったままでいいから、言ってみて！","","0x90E6"
"!p0000!e00（ひなたに足りないところ……？/　そうね……）","","0x9143"
"!pffff!e00色気/身長/内面","","0x917C"
"!p0000!e00そうね……色気、かな？/たとえば、響子先生みたいな色気があれば、/もっとイイ感じかもね。","","0x9196"
"!p0203!e00…………!0って、/ああいうタイプって……どう思う？","","0x91F7"
"!p0000!e00うーん……やっぱり、/この年頃の男子生徒ならみんな、/憧れるんじゃないかな？","","0x9233"
"!p0203!e00そう……そうだよね。/わかった、アリガト……。","","0x9288"
"!p0000!e00（ひなたはうなだれて行ってしまった。/　現実に打ちのめされたのか……な？）","","0x92C0"
"!p0000!e00そうね……やっぱ身長かなぁ。/夏まではいかないにしても、/もう少し高ければ大人っぽく見えるわよ。","","0x9315"
"!p0203!e00それはそうなんだけど、/全然伸びないんだもん……/こればっかりはしょうがないじゃない。","","0x937E"
"!p0000!e00出来る事といっても、牛乳飲むとか、/鉄棒からぶら下がるとか……ぐらいよね。/それでも効くかどうか判らないし。","","0x93DD"
"!p0200!e00あーあ、なんかどうでもよくなっちゃった。/焦ったって仕方ないもんね。/じゃまたね、!0！","","0x9452"
"!p0000!e00（……どうでもよかったのかぁ。/　ちょっと損した気分だわ……）","","0x94B1"
"!p0000!e00そうね……やっぱ内面重視よ。/外見ばっかり気をつかって/中身が空っぽってのはサイアクだし。","","0x94FA"
"!p0203!e00……その言い方、/今の私は空っぽだって言いたいの？","","0x955D"
"!p0000!e00ちがうちがう。/何て言うのかな……背が高くなりたいとか、/そんなの努力したって無理でしょ？","","0x9599"
"!p0000!e00そんなトコに気をとられないで、/内側から変わっていけばいいじゃない。","","0x95FC"
"!p0000!e00そうすれば、/いつの間にか周りのコたちよりも/大人びて見えるって。","","0x964A"
"!p0200!e00……私に出来ると思う？/委員長みたいな/しっかり者になれるのかなぁ。","","0x9695"
"!p0000!e00なりたいって気持ちを、/忘れなければ大丈夫よ。","","0x96E2"
"!p0000!e00もし忘れてたら、/私が容赦なく注意してあげるから、/覚悟しといてね！","","0x971A"
